international_plan,voice_mail_plan,number_vmail_messages,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,total_net_minutes,total_net_calls,total_net_charge
0,1,26,13.7,3.0,3.7,1.0,0,611.5,329.0,55.540000000000006
0,0,0,12.2,5.0,3.29,0.0,0,527.2,328.0,59.00000000000001
1,0,0,6.6,7.0,1.78,2.0,0,560.45,248.0,65.215
1,0,0,10.1,3.0,2.73,3.0,0,501.9,356.0,49.36
0,1,24,7.5,7.0,2.03,3.0,0,766.35,314.0,75.17500000000001
1,0,0,7.1,6.0,1.92,0.0,0,471.90000000000003,269.0,44.980000000000004
0,0,0,8.7,4.0,2.35,1.0,0,735.8499999999999,267.0,69.595
1,1,37,11.2,5.0,3.02,0.0,0,807.0,292.0,77.52
0,0,0,12.7,6.0,3.43,3.5,1,566.4000000000001,331.0,50.77
0,0,0,9.1,5.0,2.46,0.0,0,547.1,369.0,54.62
0,0,0,11.2,2.0,3.02,1.0,0,374.8,295.0,37.17
0,0,0,12.3,5.0,3.32,3.0,0,596.5,278.0,56.32
0,0,0,5.4,9.0,1.46,3.5,1,803.9125,292.0,89.56750000000001
0,1,27,13.8,4.0,3.73,1.0,0,566.5999999999999,304.0,61.28999999999999
0,1,33,10.0,5.0,2.7,1.0,0,568.2,239.0,57.800000000000004
0,0,0,13.0,2.0,3.51,1.0,0,576.7,252.0,60.39
0,0,0,10.6,4.0,2.86,0.0,0,603.5999999999999,343.0,56.14
0,0,0,5.7,6.0,1.54,3.5,1,441.9,274.0,34.48
0,0,0,9.5,10.5,2.57,0.0,0,437.70000000000005,289.0,45.49
0,0,0,7.7,6.0,2.08,2.0,0,437.3,310.0,38.97
0,0,0,10.3,2.0,2.78,0.0,0,563.3,273.0,45.3
0,1,39,9.5,3.0,2.57,0.0,0,586.8,342.0,60.67
0,0,0,14.7,4.0,3.97,3.0,0,391.9,241.0,40.64
0,0,0,6.3,6.0,1.7,0.0,0,629.7,295.0,62.42
0,0,0,11.1,1.0,3.0,1.0,0,513.0999999999999,316.0,46.6
0,0,0,10.3,5.0,2.78,1.0,0,673.8,310.0,66.64999999999999
0,0,0,11.8,3.0,3.19,1.0,1,782.2,327.0,76.49
0,1,25,8.3,4.0,2.24,0.0,0,585.3,285.0,56.25
0,1,30,14.5,6.0,3.92,0.0,0,438.1,317.0,44.5
0,0,0,10.0,5.0,2.7,1.0,0,582.3,288.0,51.5
1,1,33,10.5,6.0,2.84,3.0,0,493.2,312.0,55.19
0,0,0,9.4,2.0,2.54,3.0,0,480.90000000000003,322.0,44.099999999999994
1,1,40,14.6,10.5,3.94,0.0,1,499.2,270.0,52.26
0,0,0,10.0,4.0,2.7,2.0,0,718.5,258.0,59.22999999999999
0,0,0,9.2,4.0,2.48,3.0,0,429.6,279.0,36.67
0,0,0,3.5,3.0,0.95,1.0,0,645.1,271.0,57.31
0,1,28,8.5,5.0,2.3,2.0,0,497.0,305.0,46.0
0,0,0,13.2,5.0,3.56,3.0,0,508.59999999999997,360.0,55.800000000000004
0,0,0,7.4,5.0,2.0,2.0,0,563.8,334.0,54.129999999999995
0,1,24,11.0,3.0,2.97,1.0,0,421.0,272.0,44.28
0,0,0,7.8,5.0,2.11,3.0,0,698.5,291.0,66.21
0,0,0,6.8,3.0,1.84,1.0,0,680.7,301.0,66.65
0,0,0,11.4,6.0,3.08,2.0,0,659.0999999999999,235.0,60.540000000000006
0,0,0,9.3,5.0,2.51,2.0,0,656.2,252.0,60.25
0,0,0,10.2,3.0,2.75,1.0,0,695.0,250.0,63.19
0,0,0,8.0,2.0,2.16,1.0,0,447.7,288.0,43.21000000000001
0,1,30,5.8,3.0,1.57,3.0,1,454.9,283.0,48.279999999999994
0,0,0,12.0,8.0,3.24,1.0,0,596.0,324.0,62.58
0,0,0,11.4,4.0,3.08,1.0,0,528.6,245.0,54.599999999999994
0,1,34,11.6,3.0,3.13,2.0,0,613.1,331.0,68.28999999999999
0,1,28,12.6,3.0,3.4,3.0,0,634.0,209.0,58.629999999999995
0,0,0,8.2,6.0,2.21,2.0,0,453.1,301.0,43.3
